uniqueid,predicted_bank_account
uniqueid_51,1
uniqueid_7141,0
uniqueid_1175,0
uniqueid_1892,0
uniqueid_4677,0
uniqueid_3859,0
uniqueid_2290,0
uniqueid_1247,0
uniqueid_4179,0
uniqueid_3661,0
uniqueid_4673,0
uniqueid_1041,1
uniqueid_2769,0
uniqueid_5032,0
uniqueid_5882,0
uniqueid_477,0
uniqueid_4510,0
uniqueid_26,0
uniqueid_3956,0
uniqueid_2222,0
uniqueid_7204,1
uniqueid_678,0
uniqueid_4372,1
uniqueid_4608,0
uniqueid_3654,0
uniqueid_5351,0
uniqueid_4824,0
uniqueid_7891,0
uniqueid_7206,0
uniqueid_6171,0
uniqueid_1262,0
uniqueid_4516,1
uniqueid_5300,0
uniqueid_6411,0
uniqueid_4682,0
uniqueid_116,0
uniqueid_1715,0
uniqueid_7797,0
uniqueid_2804,0
uniqueid_2169,1
uniqueid_535,0
uniqueid_1014,0
uniqueid_777,0
uniqueid_561,1
uniqueid_2037,0
uniqueid_907,0
uniqueid_5046,0
uniqueid_1284,0
uniqueid_6337,0
uniqueid_6409,0
uniqueid_768,0
uniqueid_1561,0
uniqueid_1970,0
uniqueid_2792,0
uniqueid_5299,0
uniqueid_8309,0
uniqueid_4016,0
uniqueid_4582,1
uniqueid_575,0
uniqueid_1148,0
uniqueid_8543,0
uniqueid_6211,0
uniqueid_1519,0
uniqueid_6779,0
uniqueid_5840,0
uniqueid_288,0
uniqueid_5723,0
uniqueid_8271,0
uniqueid_3747,0
uniqueid_2247,0
uniqueid_39,0
uniqueid_5451,0
uniqueid_857,0
uniqueid_1330,1
uniqueid_3028,0
uniqueid_4607,0
uniqueid_7485,0
uniqueid_3602,0
uniqueid_1905,1
uniqueid_4211,0
uniqueid_2452,1
uniqueid_6044,0
uniqueid_1061,0
uniqueid_5618,1
uniqueid_716,1
uniqueid_8146,0
uniqueid_6398,0
uniqueid_1584,0
uniqueid_6101,0
uniqueid_8695,0
uniqueid_2707,0
uniqueid_3917,0
uniqueid_3694,0
uniqueid_437,1
uniqueid_7648,0
uniqueid_160,1
uniqueid_4439,0
uniqueid_3512,0
uniqueid_415,0
uniqueid_490,1
uniqueid_2160,0
uniqueid_858,0
uniqueid_2856,0
uniqueid_1927,1
uniqueid_3314,0
uniqueid_2894,0
uniqueid_2288,0
uniqueid_4821,0
uniqueid_3617,0
uniqueid_4433,0
uniqueid_2445,0
uniqueid_3015,0
uniqueid_2607,0
uniqueid_5095,0
uniqueid_4353,0
uniqueid_949,0
uniqueid_2754,0
uniqueid_581,0
uniqueid_3657,0
uniqueid_5561,1
uniqueid_2118,0
uniqueid_2613,1
uniqueid_4737,0
uniqueid_2852,0
uniqueid_428,0
uniqueid_4096,0
uniqueid_3475,0
uniqueid_55,1
uniqueid_5510,0
uniqueid_1794,1
uniqueid_806,1
uniqueid_908,0
uniqueid_3571,0
uniqueid_1045,0
uniqueid_3413,1
uniqueid_3123,0
uniqueid_2742,0
uniqueid_1351,0
uniqueid_779,0
uniqueid_233,0
uniqueid_1498,0
uniqueid_6293,0
uniqueid_2452,0
uniqueid_6615,0
uniqueid_2157,0
uniqueid_3552,0
uniqueid_2319,0
uniqueid_704,0
uniqueid_123,0
uniqueid_4547,0
uniqueid_1961,0
uniqueid_1166,1
uniqueid_2960,0
uniqueid_1325,1
uniqueid_6833,0
uniqueid_979,0
uniqueid_3350,1
uniqueid_3453,0
uniqueid_1152,0
uniqueid_5942,0
uniqueid_3171,0
uniqueid_648,0
uniqueid_589,0
uniqueid_837,0
uniqueid_8030,0
uniqueid_1810,0
uniqueid_3674,0
uniqueid_828,0
uniqueid_6768,0
uniqueid_3822,0
uniqueid_4916,1
uniqueid_2319,0
uniqueid_5697,0
uniqueid_2589,0
uniqueid_1454,0
uniqueid_1333,0
uniqueid_2390,0
uniqueid_275,0
uniqueid_3616,0
uniqueid_1901,1
uniqueid_4074,0
uniqueid_523,1
uniqueid_6614,0
uniqueid_3834,0
uniqueid_7126,0
uniqueid_6460,0
uniqueid_1316,0
